Time;Electrical energy demand in kW;Heating energy  demand in kW;DHW demand in kW
00:00;3,059435175;0;0,029417646
00:01;6,353452788;0;0,061090892
00:02;9,812920073;0;0,094355001
00:03;13,29875495;0;0,127872644
00:04;16,17852947;0;0,155562783
00:05;19,15187908;0;0,184152683
00:06;23,12964878;0;0,222400469
00:07;25,16978441;0;0,242017158
00:08;28,47244558;0;0,273773515
00:09;30,87249195;0;0,296850884
00:10;35,77638585;0;0,34400371
00:11;36,61446707;0;0,352062183
00:12;40,53262733;0;0,389736801
00:13;46,99188884;0;0,451845085
00:14;50,17662943;0;0,482467591
00:15;48,048;0;0,429718323
00:16;48,048;0;0,403067502
00:17;48,048;0;0,372415821
00:18;48,048;0;0,339743639
00:19;48,048;0;0,307429023
00:20;48,048;0;0,277878638
00:21;48,048;0;0,243685393
00:22;48,048;0;0,215536936
00:23;48,048;0;0,17671194
00:24;48,048;0;0,147521161
00:25;48,048;0;0,120848563
00:26;48,048;0;0,105073629
00:27;48,048;0;0,056570841
00:28;48,048;0;0,012438067
00:29;48,048;0;0
00:30;48,048;0,406745999;0
00:31;48,048;0,770871316;0
00:32;48,048;1,236585323;0
00:33;48,048;1,532432786;0
00:34;48,048;2,037767952;0
00:35;48,048;2,279269542;0
00:36;48,048;2,826758959;0
00:37;48,048;3,042736935;0
00:38;48,048;3,731108537;0
00:39;48,048;3,848056798;0
00:40;48,048;4,196240475;0
00:41;48,048;4,681080912;0
00:42;48,048;5,261020254;0
00:43;48,048;5,405504312;0
00:44;48,048;6,251366411;0
00:45;49,2894147;20,74293361;0,004006615
00:46;50,64853015;36,91870523;0,008393104
00:47;52,00702023;53,08703374;0,012777576
00:48;53,20389107;67,3318201;0,016640427
00:49;54,26647466;79,97836125;0,020069872
00:50;55,95776713;100,1076008;0,025528449
00:51;56,89733586;111,2900572;0,028560869
00:52;58,59370281;131,4796918;0,034035824
00:53;59,63650977;143,8908575;0,03740144
00:54;61,44666815;165,4348024;0,043243652
00:55;62,90524541;182,7943377;0,047951151
00:56;64,10136843;197,0302238;0,051811589
00:57;65,30787989;211,3897498;0,055705555
00:58;66,12214204;221,080846;0,058333553
00:59;67,84880658;241,6310731;0,063906292
01:00;67,66384695;234,8267606;0,05897711
01:01;67,76574674;231,1458765;0,05470017
01:02;67,86632943;227,5125698;0,050478512
01:03;67,96454224;223,9648691;0,046356322
01:04;68,0570151;220,6245104;0,042475049
01:05;68,15227032;217,1836459;0,038476995
01:06;68,28513063;212,3843881;0,03290058
01:07;68,39890557;208,2745429;0,028125216
01:08;68,49314027;204,870542;0,024169995
01:09;68,52221901;203,8201427;0,022949502
01:10;68,67471211;198,3116977;0,016549059
01:11;68,77938799;194,5305343;0,012155601
01:12;68,83584918;192,4910104;0,009785811
01:13;68,95469793;188,1978864;0,004797489
01:14;69,11504765;182,4056399;0
01:15;68,5784508;181,7130308;0
01:16;68,0691042;179,266783;0
01:17;67,52536755;176,6553695;0
01:18;67,07714728;174,5026941;0
01:19;66,48327881;171,6505117;0
01:20;66,01314816;169,392607;0
01:21;65,7105482;167,9393049;0
01:22;64,87279981;163,9158361;0
01:23;64,53487931;162,2928994;0
01:24;64,21063005;160,7356218;0
01:25;63,78648949;158,6985945;0
01:26;63,32613211;156,4876281;0
01:27;62,87146271;154,3039794;0
01:28;62,17868618;150,9767695;0
01:29;61,51935529;147,8101895;0
01:30;61,04415125;138,2712632;0
01:31;60,54824439;128,9403808;0
01:32;60,04540448;119,4790474;0
01:33;59,61780117;111,4333504;0
01:34;59,12092025;102,0841402;0
01:35;58,51315926;90,64863303;0
01:36;58,11820967;83,21734198;0
01:37;57,54845387;72,49693276;0
01:38;57,22625768;66,43455499;0
01:39;56,58034375;54,2811699;0
01:40;55,78491662;39,31457486;0
01:41;55,6161272;36,13866744;0
01:42;55,34012779;30,94551879;0
01:43;54,69961504;18,89376126;0
01:44;54,01475431;6,007561154;0
01:45;53,74652311;10,84928727;0
01:46;53,46437208;14,61460028;0
01:47;53,15375326;18,75981679;0
01:48;52,83747937;22,9805002;0
01:49;52,51466097;27,28852038;0
01:50;52,21746926;31,25455167;0
01:51;52,0284562;33,77693593;0
01:52;51,55410894;40,10711276;0
01:53;51,38433239;42,37278537;0
01:54;51,04243877;46,93536483;0
01:55;50,58968039;52,97743751;0
01:56;50,28569802;57,03409032;0
01:57;50,02654125;60,49254437;0
