25,7
25,61
25,49
25,25
25,63
25,88
26,58
26,64
26,7
26,89
27,8
28,1
28,36
28,71
29,65
30,38
30,77
30,92
30,77
30,5
30,19
29,94
29,65
29,36
29,42
28,95
28,22
28,22
28,92
30,47
32,09
33,07
33,92
34,38
34,17
34,05
33,64
33,59
33,81
34,49
35,16
35,8
34,83
33,93
33,42
33,09
32,12
30,93
30,65
30,37
30,15
30,14
30,41
31,3
32,14
33,72
34,39
33,8
33,24
32,78
32,58
32,2
32,12
32,1
32,31
32,18
31,87
31,29
30,69
30,06
29,27
28,3
26,63
26,2
25,86
25,98
26,36
27,62
28,84
30,43
31,3
31,81
31,95
32,16
32,05
32,08
32,49
33,32
34,1
34,5
33,8
32,8
32,11
31,72
31,36
30,58
30,47
30,18
29,97
30,02
30,57
31,48
33,5
38,08
41,66
41,29
42,26
42,96
42,37
42,83
43,08
44,93
50,64
50,41
48,11
45,75
42,01
37,84
34,95
33,32
33,19
32,76
31,94
31,86
31,79
31,57
32,55
32,94
33,27
33,3
33,39
32,98
32,77
32,61
32,39
32,58
32,76
32,76
32,33
31,53
30,95
30,43
29,78
28,86
29,13
28,4
27,89
27,36
27,7
28,25
28,8
29,29
29,85
30,41
30,77
30,94
30,86
30,8
30,98
31,56
32,54
32,92
32,6
31,97
31,44
31,24
30,98
