2,244,075,095
2,237,932,785
2,228,413,703
2,218,288,371
2,207,092,974
2,191,882,518
2,191,784,533
2,197,097,976
2,204,738,838
2,211,446,695
2,217,139,695
2,222,959,323
2,067,389,643
2,195,549,968
2,173,968,576
2,215,789,399
2,216,458,007
2,217,021,205
2,217,522,429
2,218,264,894
2,218,759,679
2,219,449,419
2,219,892,662
2,220,498,608
2,221,505,502
2,221,769,178
2,222,549,947
2,223,183,385
222,336,638
2,224,742,795
2,243,383,937
2,264,355,007
2,281,987,362
2,303,509,444
2,317,256,082
2,334,410,262
235,319,782
2,370,196,401
2,390,835,984
2,422,065,532
2,439,790,636
2,463,055,339
2,461,849,173
2,479,824,973
2,524,019,731
2,529,607,555
2,550,643,339
2,571,565,203
2,590,074,521
2,606,717,639
2,632,675,245
2,647,594,058
2,673,307,995
2,689,568,594
2,717,284,827
2,740,303,313
2,758,734,053
2,777,028,507
2,790,234,799
2,816,348,396
2,813,220,822
2,814,077,035
2,815,009,824
2,815,969,793
2,816,615,396
2,817,585,547
2,819,026,524
2,820,079,331
2,820,722,472
2,820,455,762
2,822,258,419
2,823,395,811
2,823,641,377
2,824,249,603
2,826,558,782
2,817,127,504
2,808,128,995
2,798,980,834
2,790,805,932
2,780,855,287
2,772,595,565
2,766,417,978
2,752,852,589
2,746,442,921
2,740,084,942
2,732,788,809
2,725,031,445
2,717,193,398
2,704,893,859
2,694,427,481
2,674,621,473
2,656,845,077
2,635,793,549
2,616,743,217
2,599,785,651
2,577,991,184
2,561,910,301
2,536,560,497
2,522,817,738
2,499,883,731
248,052,905
2,470,142,639
2,449,483,218
2,422,399,934
2,403,030,172
2,405,792,894
2,405,268,424
2,403,920,633
240,353,924
2,401,550,071
2,401,719,746
2,401,211,948
2,399,038,466
2,400,806,348
2,398,755,237
2,396,106,795
2,394,168,568
2,393,222,455
2,398,288,442
2,394,950,068
2,391,455,697
2,388,333,367
2,385,856,064
2,383,773,203
2,379,311,856
2,375,004,736
237,520,892
2,367,932,795
237,079,945
2,367,938,858
2,365,939,236
235,998,844
2,354,178,724
2,356,059,195
2,350,763,507
2,356,412,936
2,361,921,312
2,365,533,988
2,373,535,178
2,379,514,639
2,381,860,288
2,384,469,426
2,393,815,349
2,400,744,129
2,405,639,167
2,404,177,078
2,413,386,226
241,451,118
2,422,939,471
2,426,026,008
2,405,324,268
2,383,583,221
2,361,970,487
2,340,393,507
2,315,372,238
2,294,111,152
2,276,222,264
2,244,143,162
2,225,332,374
2,200,346,675
2,188,111,402
2,164,980,859
2,133,531,195
2,120,661,136
2,095,075,006
2,090,648,848
2,086,862,015
2,083,140,364
2,080,013,626
207,687,429
2,072,611,875
2,067,566,717
2,064,181,967
